id,ACTION
1,0.112
2,0.779
3,0.999
4,0.422
5,0.991
6,0.999
7,0.926
8,0.99
9,0.481
10,0.923
11,0.989
12,0.496
13,0.184
14,0.408
15,0.444
16,0.749
17,0.325
18,0.307
19,0.968
20,0.707
21,0.985
22,0.956
23,0.245
24,0.75
25,0.693
26,0.752
27,0.404
28,0.494
29,0.668
30,0.306
31,0.558
32,0.582
33,0.904
34,0.677
35,0.611
36,0.825
37,0.648
38,0.898
39,0.73
40,0.435
41,0.279
42,0.998
43,0.906
44,0.578
45,0.595
46,0.727
47,1
48,0.608
49,0.992
50,0.858
51,0.998
52,0.838
53,0.843
54,0.934
55,0.271
56,0.298
57,0.667
58,0.98
59,0.584
60,0.809
61,1
62,0.119
63,0.871
64,0.952
65,0.997
66,0.827
67,0.379
68,0.93
69,0.231
70,0.307
71,0.438
72,0.932
73,0.752
74,0.773
75,0.834
76,0.979
77,0.791
78,0.278
79,0.259
80,0.986
81,0.891
82,0.623
83,0.494
84,0.669
85,0.904
86,0.371
87,0.426
88,1
89,0.94
90,0.504
91,0.8
92,0.368
93,1
94,0.106
95,0.998
96,0.539
97,0.127
98,0.501
99,0.755
100,0.811
101,0.689
102,0.565
103,0.817
104,0.583
105,0.116
106,0.802
107,0.993
108,0.255
109,0.823
110,0.73
111,0.169
112,0.613
113,0.404
114,1
115,0.458
116,0.493
117,0.654
118,0.989
119,0.997
120,0.926
121,0.935
122,0.895
123,0.179
124,0.702
125,0.996
126,0.219
127,0.368
128,0.382
129,0.328
130,0.792
131,0.981
132,0.436
133,0.471
134,0.308
135,1
136,0.351
137,0.956
138,0.739
139,0.506
140,0.818
141,0.704
142,0.404
143,0.914
144,0.866
145,0.998
146,0.259
147,0.275
148,0.706
149,0.877
150,0.583
151,0.713
152,0.828
153,0.841
154,0.494
155,0.375
156,0.669
157,0.65
158,0.28
159,0.783
160,0.459
161,0.357
162,0.872
163,0.688
164,0.981
165,0.905
166,0.993
167,0.366
168,0.996
169,0.406
170,0.933
171,0.716
172,0.817
173,0.678
174,0.997
175,0.995
176,0.997
177,0.512
178,0.997
179,0.962
180,0.313
181,0.058
182,0.786
183,0.688
184,0.253
185,0.718
186,0.434
187,0.984
188,0.916
189,0.41
190,0.901
191,1
192,0.509
193,1
194,0.996
195,0.653
196,1
197,0.773
198,0.632
199,0.772
200,0.029
201,0.815
202,0.285
203,0.442
204,0.45
205,0.823
206,0.755
207,0.881
208,0.425
209,0.527
210,0.822
211,0.348
212,0.406
213,0.985
214,0.397
215,1
216,0.449
217,0.781
218,0.834
219,0.997
220,0.364
221,0.32
222,0.97
223,0.977
224,0.521
225,0.678
226,0.245
227,0.188
228,0.52
229,0.997
230,0.806
231,0.544
232,0.267
233,0.765
234,0.29
235,0.811
236,0.53
237,0.928
238,0.638
239,0.279
240,0.849
241,0.578
242,0.113
243,0.121
244,1
245,0.589
246,0.827
247,0.799
248,0.71
249,0.849
250,0.905
251,0.746
252,0.52
253,0.767
254,0.854
255,0.965
256,0.801
257,0.641
258,0.346
259,0.776
260,1
261,0.751
262,0.442
263,0.867
264,0.878
265,0.91
266,0.427
267,0.469
268,0.756
269,0.882
270,0.649
271,0.492
272,0.257
273,0.876
274,0.787
275,0.845
276,0.994
277,0.943
278,0.612
279,0.462
280,0.418
281,1
282,0.737
283,0.202
284,0.549
285,0.753
286,0.823
287,0.883
288,0.86
289,0.53
290,0.923
291,0.401
292,0.411
293,0.862
294,0.586
295,0.673
296,0.078
297,0.119
298,0.642
299,0.051
300,0.736
301,0.691
302,0.806
303,0.079
304,0.196
305,0.827
306,0.592
307,0.898
308,0.857
309,0.571
310,0.461
311,0.905
312,0.111
313,0.652
314,0.289
315,1
316,0.931
317,0.815
318,0.742
319,0.31
320,0.661
321,0.818
322,0.057
323,0.985
324,1
325,0.877
326,0.336
327,0.31
328,0.769
329,0.432
330,0.75
331,0.442
332,0.47
333,0.85
334,0.185
335,0.999
336,0.632
337,0.993
338,0.943
339,0.524
340,0.428
341,0.903
342,0.845
343,0.258
344,1
345,0.923
346,0.893
347,0.214
348,0.386
349,0.995
350,0.621
351,0.72
352,0.904
353,0.566
354,0.27
355,0.591
356,0.719
357,0.434
358,0.273
359,0.555
360,0.342
361,0.908
362,0.895
363,0.743
364,0.031
365,0.489
366,0.897
367,0.814
368,0.925
369,1
370,0.388
371,0.975
372,0.85
373,0.686
374,0.158
375,0.295
376,0.779
377,0.13
378,0.57
379,0.981
380,0.322
381,0.515
382,0.585
383,0.946
384,0.785
385,0.284
386,0.806
387,0.819
388,0.96
389,0.992
390,0.991
391,0.739
392,0.764
393,0.423
394,0.935
395,0.216
396,0.928
397,0.999
398,0.733
399,0.783
400,0.222
401,1
402,0.837
403,0.423
404,0.974
405,0.995
406,0.551
407,0.481
408,0.883
409,0.978
410,0.338
411,0.986
412,0.243
413,0.133
414,0.404
415,1
416,0.813
417,0.84
418,0.351
419,0.729
420,0.885
421,0.555
422,0.107
423,0.451
424,0.31
425,0.89
426,0.827
427,0.995
428,0.991
429,0.105
430,0.99
431,0.844
432,0.979
433,0.816
434,0.231
435,0.986
436,0.998
437,0.738
438,0.331
439,0.37
440,0.298
441,0.778
442,0.985
443,0.76
444,0.467
445,0.435
446,0.637
447,0.304
448,1
449,0.791
450,0.318
451,0.222
452,0.367
453,0.992
454,0.48
455,0.283
456,0.878
457,0.588
458,0.981
459,0.366
460,0.466
461,0.278
462,1
463,1
464,0.556
465,0.845
466,0.78
467,0.109
468,0.361
469,0.995
470,0.581
471,0.586
472,0.503
473,1
474,0.98
475,0.321
476,0.742
477,0.861
478,0.462
479,0.956
480,0.986
481,0.968
482,0.551
483,0.797
484,0.846
485,0.72
486,0.439
487,0.401
488,1
489,0.907
490,0.435
491,0.79
492,0.972
493,0.311
494,0.968
495,0.705
496,0.911
497,0.786
498,0.845
499,0.836
500,0.817
501,0.998
502,0.282
503,0.771
504,0.638
505,0.415
506,0.928
507,0.919
508,0.894
509,0.326
510,0.188
511,0.691
512,0.621
513,0.315
514,0.118
515,1
516,0.858
517,0.84
518,0.831
519,0.272
520,0.186
521,0.859
522,0.653
523,0.935
524,0.171
525,0.391
526,0.111
527,0.935
528,0.509
529,0.508
530,1
531,0.908
532,0.272
533,0.834
534,0.228
535,0.467
536,0.999
537,0.715
538,0.349
539,0.773
540,0.76
541,0.509
542,0.754
543,0.272
544,0.912
545,0.38
546,0.64
547,0.438
548,0.22
549,0.625
550,0.581
551,0.978
552,0.901
553,0.748
554,0.223
555,0.449
556,0.996
557,0.677
558,0.763
559,0.719
560,0.502
561,0.407
562,0.489
563,0.929
564,0.367
565,0.908
566,0.284
567,0.557
568,0.163
569,0.572
570,0.276
571,0.158
572,0.627
573,0.283
574,0.309
575,0.989
576,0.663
577,0.737
578,0.767
579,0.258
580,0.402
581,0.861
582,0.76
583,0.525
584,0.483
585,0.994
586,0.691
587,0.775
588,0.285
589,1
590,0.599
591,0.872
592,0.431
593,0.591
594,0.948
595,1
596,1
597,0.999
598,0.862
599,0.245
600,0.675
601,0.898
602,0.545
603,1
604,0.397
605,0.445
606,0.92
607,0.654
608,0.586
609,0.45
610,0.281
611,0.827
612,0.797
613,0.94
614,0.24
615,0.993
616,0.148
617,0.595
618,0.269
619,1
620,0.642
621,0.794
622,0.576
623,0.563
624,0.447
625,0.441
626,0.554
627,0.167
628,0.488
629,0.895
630,0.724
631,0.681
632,0.828
633,0.655
634,1
635,0.704
636,0.564
637,0.897
638,0.787
639,0.368
640,0.923
641,0.297
642,0.592
643,0.746
644,0.812
645,0.931
646,0.224
647,1
648,0.746
649,0.941
650,0.205
651,0.514
652,1
653,0.355
654,0.761
655,0.471
656,0.776
657,0.307
658,0.878
659,0.773
660,0.863
661,0.755
662,0.645
663,0.833
664,0.765
665,0.345
666,0.403
667,0.367
668,0.967
669,0.712
670,0.24
671,0.339
672,0.781
673,0.141
674,0.935
675,0.484
676,0.651
677,0.311
678,0.837
679,0.553
680,0.371
681,0.377
682,0.187
683,0.839
684,0.992
685,0.765
686,0.39
687,0.923
688,0.508
689,0.772
690,0.993
691,1
692,0.634
693,0.471
694,0.97
695,0.948
696,0.719
697,0.886
698,0.633
699,0.458
700,0.539
701,0.304
702,0.908
703,0.901
704,0.614
705,0.504
706,0.445
707,0.933
708,0.981
709,0.835
710,0.877
711,0.397
712,0.9
713,0.991
714,0.978
715,0.896
716,0.351
717,0.573
718,0.586
719,0.945
720,0.681
721,0.211
722,0.959
723,0.674
724,0.326
725,0.83
726,0.569
727,0.854
728,0.989
729,0.703
730,0.27
731,0.213
732,0.966
733,0.967
734,0.981
735,0.407
736,0.213
737,0.601
738,0.86
739,0.678
740,0.804
741,0.88
742,0.567
743,0.843
744,0.911
745,0.888
746,0.654
747,0.962
748,0.78
749,0.721
750,0.994
751,0.997
752,0.875
753,0.91
754,0.837
755,0.739
756,0.133
757,0.964
758,0.585
759,0.603
760,0.469
761,0.339
762,0.403
763,0.9
764,0.379
765,0.563
766,0.381
767,0.378
768,0.912
769,0.447
770,0.995
771,1
772,0.715
773,0.807
774,0.364
775,0.83
776,0.207
777,0.793
778,0.773
779,0.569
780,0.153
781,0.677
782,0.857
783,1
784,0.415
785,0.465
786,0.859
787,0.624
788,0.572
789,0.875
790,0.376
791,0.475
792,0.768
793,0.629
794,0.721
795,0.702
796,0.405
797,0.548
798,0.974
799,0.29
800,0.779
801,1
802,0.656
803,0.498
804,0.763
805,0.575
806,0.898
807,0.254
808,0.112
809,0.773
810,0.828
811,0.584
812,0.115
813,0.963
814,0.349
815,0.124
816,1
817,0.971
818,0.342
819,0.404
820,0.719
821,0.564
822,0.551
823,0.988
824,0.539
825,0.881
826,0.322
827,0.995
828,0.938
829,0.994
830,0.636
831,0.763
832,0.834
833,0.973
834,0.689
835,0.922
836,0.909
837,0.433
838,0.707
839,0.303
840,0.302
841,0.845
842,0.509
843,0.901
844,0.698
845,0.649
846,0.913
847,0.811
848,0.971
849,0.578
850,0.445
851,0.997
852,0.582
853,0.373
854,0.322
855,0.991
856,0.849
857,0.888
858,0.701
859,0.77
860,0.982
861,0.851
862,0.381
863,1
864,0.376
865,0.109
866,0.979
867,0.88
868,0.72
869,0.828
870,0.672
871,0.996
872,0.362
873,0.874
874,0.455
875,0.853
876,0.592
877,0.627
878,0.555
879,0.91
880,0.454
881,0.41
882,0.908
883,0.74
884,0.481
885,0.269
886,0.997
887,0.778
888,0.928
889,0.432
890,0.834
891,0.435
892,0.245
893,0.724
894,1
895,0.991
896,0.981
897,0.441
898,0.844
899,0.562
900,0.998
901,0.999
902,0.776
903,0.583
904,0.623
905,0.959
906,0.692
907,0.988
908,0.99
909,0.66
910,0.664
911,0.614
912,0.286
913,0.824
914,0.902
915,0.851
916,0.605
917,0.293
918,0.25
919,0.95
920,0.301
921,0.83
922,0.764
923,0.975
924,0.189
925,0.121
926,0.933
927,0.999
928,0.923
929,0.924
930,0.997
931,0.592
932,0.479
933,0.661
934,0.42
935,0.878
936,0.699
937,0.646
938,0.811
939,0.228
940,0.774
941,0.999
942,0.693
943,0.278
944,0.659
945,0.461
946,0.7
947,0.805
948,0.266
949,0.492
950,0.849
951,0.959
952,0.213
953,0.603
954,0.871
955,0.806
956,0.128
957,0.773
958,0.176
959,0.25
960,0.356
961,0.409
962,0.902
963,0.982
964,0.465
965,0.316
966,0.727
967,0.995
968,0.843
969,0.992
970,0.434
971,0.987
972,1
973,0.566
974,0.997
975,0.148
976,0.516
977,0.331
978,0.662
979,0.42
980,0.176
981,0.997
982,0.923
983,0.987
984,0.327
985,0.873
986,0.409
987,0.99
988,0.934
989,0.978
990,0.341
991,0.469
992,0.612
993,1
994,0.992
995,0.46
996,0.817
997,0.297
998,0.221
999,0.937
1000,0.972
1001,0.81
1002,0.817
1003,0.606
1004,0.457
1005,0.536
1006,0.551
1007,0.738
1008,0.81
1009,0.864
1010,0.345
1011,0.89
1012,0.801
1013,0.995
1014,0.66
1015,0.972
1016,0.88
1017,0.253
1018,0.593
1019,0.411
1020,0.871
1021,1
1022,0.902
1023,0.937
1024,0.928
1025,0.89
1026,0.406
1027,0.63
1028,0.472
1029,0.856
1030,0.649
1031,0.799
1032,0.991
1033,0.971
1034,0.23
1035,0.985
1036,0.898
1037,0.195
1038,0.763
1039,0.309
1040,0.978
1041,0.496
1042,0.951
1043,0.187
1044,0.085
1045,0.101
1046,0.703
1047,0.719
1048,0.617
1049,0.122
1050,0.566
1051,0.998
1052,0.462
1053,0.996
1054,0.524
1055,0.993
1056,0.336
1057,0.564
1058,0.977
1059,0.685
1060,0.564
1061,0.667
1062,0.528
1063,0.738
1064,0.278
1065,0.961
1066,0.886
1067,0.209
1068,0.219
1069,0.825
1070,0.921
1071,0.426
1072,0.986
1073,0.343
1074,1
1075,0.998
1076,0.752
1077,0.667
1078,0.583
1079,0.833
1080,0.192
1081,0.596
1082,1
1083,0.529
1084,0.872
1085,0.767
1086,0.993
1087,0.534
1088,0.551
1089,0.789
1090,0.995
1091,0.315
1092,0.949
1093,0.27
1094,0.831
1095,0.936
1096,0.493
1097,0.968
1098,0.81
1099,0.322
1100,0.328
1101,0.317
1102,0.475
1103,0.987
1104,0.373
1105,0.991
1106,0.997
1107,0.786
1108,0.911
1109,0.885
1110,0.828
1111,1
1112,0.955
1113,0.894
1114,0.832
1115,0.381
1116,0.601
1117,0.426
1118,0.541
1119,0.625
1120,0.908
1121,0.755
1122,0.914
1123,0.434
1124,0.687
1125,0.983
1126,0.567
1127,0.71
1128,0.76
1129,0.774
1130,0.971
1131,0.764
1132,0.487
1133,0.928
1134,0.984
1135,0.189
1136,0.546
1137,0.527
1138,0.949
1139,1
1140,0.999
1141,0.64
1142,0.731
1143,0.979
1144,0.837
1145,0.916
1146,0.991
1147,0.807
1148,0.313
1149,0.465
1150,0.86
1151,0.972
1152,0.793
1153,0.991
1154,0.286
1155,0.999
1156,0.777
1157,0.917
1158,0.811
1159,0.609
1160,0.363
1161,0.998
1162,0.84
1163,0.735
1164,0.095
1165,1
1166,0.929
1167,0.996
1168,0.67
1169,0.247
1170,0.665
1171,0.944
1172,0.789
1173,0.712
1174,0.953
1175,0.986
1176,0.682
1177,0.738
1178,1
1179,0.745
1180,0.129
1181,0.509
1182,0.784
1183,0.519
1184,0.431
1185,0.985
1186,0.508
1187,0.904
1188,0.044
1189,0.781
1190,0.791
1191,0.498
1192,0.974
1193,0.994
1194,0.814
1195,0.451
1196,0.908
1197,1
1198,0.918
1199,0.774
1200,1
1201,0.768
1202,0.998
1203,0.91
1204,0.669
1205,0.384
1206,0.308
1207,0.999
1208,0.959
1209,0.496
1210,0.671
1211,0.757
1212,0.733
1213,0.601
1214,0.614
1215,0.919
1216,0.511
1217,0.946
1218,0.408
1219,0.651
1220,0.386
1221,0.698
1222,0.801
1223,0.964
1224,0.458
1225,0.701
1226,0.995
1227,0.982
1228,0.593
1229,0.768
1230,0.987
1231,0.762
1232,0.409
1233,0.912
1234,0.988
1235,0.446
1236,0.389
1237,0.971
1238,0.751
1239,0.761
1240,0.773
1241,0.712
1242,0.471
1243,0.734
1244,0.969
1245,0.796
1246,0.571
1247,0.851
1248,0.994
1249,0.28
1250,0.969
1251,0.885
1252,0.602
1253,0.995
1254,0.581
1255,0.887
1256,1
1257,0.415
1258,0.795
1259,0.868
1260,0.806
1261,0.941
1262,0.252
1263,0.591
1264,0.911
1265,0.812
1266,0.424
1267,0.984
1268,0.613
1269,0.883
1270,0.94
1271,0.58
1272,0.91
1273,0.631
1274,0.606
1275,0.982
1276,0.995
1277,0.712
1278,0.669
1279,0.536
1280,0.867
1281,1
1282,0.925
1283,0.355
1284,0.977
1285,0.971
1286,0.51
1287,0.176
1288,0.282
1289,0.679
1290,0.73
1291,0.963
1292,0.3
1293,0.684
1294,0.277
1295,0.929
1296,0.17
1297,0.856
1298,0.5
1299,0.374
1300,0.996
1301,0.986
1302,0.385
1303,0.757
1304,0.822
1305,0.399
1306,0.84
1307,0.979
1308,0.819
1309,0.934
1310,0.907
1311,0.719
1312,0.783
1313,0.196
1314,0.604
1315,1
1316,0.535
1317,1
1318,0.627
1319,0.89
1320,0.671
1321,0.512
1322,0.936
1323,0.845
1324,0.581
1325,0.889
1326,0.861
1327,0.347
1328,0.825
1329,0.591
1330,0.487
1331,0.567
1332,0.216
1333,0.459
1334,0.461
1335,0.677
1336,1
1337,0.767
1338,0.676
1339,0.82
1340,0.287
1341,0.565
1342,0.589
1343,0.941
1344,0.76
1345,1
1346,0.645
1347,0.72
1348,0.812
1349,0.648
1350,0.921
1351,0.447
1352,0.156
1353,0.842
1354,0.64
1355,0.633
1356,1
1357,0.393
1358,0.194
1359,0.071
1360,0.325
1361,0.463
1362,0.879
1363,0.851
1364,0.8
1365,0.971
1366,0.871
1367,1
1368,0.984
1369,0.848
1370,0.484
1371,0.644
1372,0.245
1373,0.119
1374,0.328
1375,0.988
1376,0.777
1377,0.95
1378,0.753
1379,0.847
1380,0.976
1381,0.999
1382,0.24
1383,0.999
1384,0.976
1385,0.526
1386,0.479
1387,0.21
1388,0.396
1389,0.906
1390,0.979
1391,0.3
1392,0.656
1393,0.856
1394,0.925
1395,0.748
1396,0.458
1397,0.717
1398,0.829
1399,0.731
1400,0.45
1401,0.898
1402,0.94
1403,0.741
1404,0.776
1405,0.926
1406,0.987
1407,0.867
1408,0.706
1409,0.405
1410,0.621
1411,0.346
1412,0.995
1413,0.481
1414,0.385
1415,0.853
1416,0.56
1417,0.27
1418,0.854
1419,0.998
1420,0.586
1421,0.995
1422,0.166
1423,0.554
1424,0.717
1425,0.755
1426,0.774
1427,0.952
1428,0.994
1429,0.117
1430,0.48
1431,0.762
1432,0.728
1433,0.064
1434,0.304
1435,0.853
1436,0.99
1437,0.874
1438,0.87
1439,0.987
1440,0.415
1441,0.345
1442,0.933
1443,0.989
1444,0.943
1445,0.933
1446,0.942
1447,0.677
1448,0.803
1449,0.81
1450,0.497
1451,0.423
1452,0.972
1453,0.492
1454,0.788
1455,0.834
1456,0.313
1457,0.952
1458,0.63
1459,0.746
1460,0.978
1461,0.973
1462,0.06
1463,0.465
1464,0.249
1465,0.464
1466,0.935
1467,0.207
1468,0.884
1469,0.783
1470,0.12
1471,0.492
1472,0.184
1473,0.298
1474,0.808
1475,0.982
1476,0.996
1477,0.685
1478,0.919
1479,0.845
1480,0.581
1481,0.683
1482,0.749
1483,1
1484,0.25
1485,0.687
1486,0.833
1487,0.35
1488,0.338
1489,0.652
1490,0.34
1491,0.977
1492,0.902
1493,0.664
1494,0.586
1495,0.846
1496,1
1497,0.818
1498,0.577
1499,0.282
1500,1
1501,0.89
1502,0.456
1503,0.892
1504,0.923
1505,0.995
1506,0.394
1507,0.786
1508,0.212
1509,0.833
1510,0.955
1511,0.851
1512,0.927
1513,0.872
1514,0.453
1515,0.164
1516,0.5
1517,0.089
1518,0.444
1519,0.693
1520,0.74
1521,0.266
1522,0.273
1523,0.736
1524,0.669
1525,1
1526,1
1527,0.79
1528,0.364
1529,0.353
1530,0.956
1531,0.85
1532,0.544
1533,0.946
1534,0.967
1535,0.744
1536,0.564
1537,0.998
1538,0.874
1539,0.447
1540,0.89
1541,0.968
1542,0.661
1543,0.295
1544,0.768
1545,0.945
1546,0.781
1547,0.595
1548,0.655
1549,0.917
1550,0.496
1551,0.635
1552,0.745
1553,0.716
1554,0.848
1555,0.885
1556,0.73
1557,0.709
1558,0.555
1559,0.543
1560,0.369
1561,0.877
1562,0.823
1563,0.11
1564,0.638
1565,0.827
1566,0.372
1567,0.447
1568,0.521
1569,0.209
1570,0.569
1571,0.646
1572,0.872
1573,0.124
1574,1
1575,0.473
1576,0.763
1577,0.902
1578,0.48
1579,0.975
1580,0.419
1581,0.929
1582,0.762
1583,0.505
1584,0.966
1585,0.473
1586,0.71
1587,0.475
1588,0.263
1589,0.864
1590,0.669
1591,0.534
1592,0.971
1593,0.51
1594,0.997
1595,0.053
1596,0.299
1597,0.754
1598,0.617
1599,0.089
1600,0.634
1601,0.191
1602,0.754
1603,0.763
1604,0.75
1605,0.882
1606,0.966
1607,0.573
1608,0.031
1609,0.239
1610,0.93
1611,0.989
1612,0.656
1613,0.745
1614,0.69
1615,0.834
1616,0.654
1617,0.031
1618,0.846
1619,0.848
1620,0.995
1621,0.92
1622,0.273
1623,0.697
1624,0.643
1625,0.642
1626,0.853
1627,0.186
1628,0.155
1629,0.567
1630,0.717
1631,0.776
1632,0.687
1633,0.13
1634,0.767
1635,0.444
1636,0.918
1637,0.635
1638,0.619
1639,0.481
1640,0.608
1641,0.846
1642,0.775
1643,0.896
1644,0.743
1645,0.639
1646,0.911
1647,0.769
1648,0.814
1649,0.193
1650,0.672
1651,0.37
1652,0.999
1653,0.986
1654,1
1655,0.956
1656,0.472
1657,0.612
1658,0.763
1659,0.365
1660,0.973
1661,0.996
1662,0.812
1663,0.994
1664,1
1665,0.642
1666,0.537
1667,0.578
1668,1
1669,0.817
1670,0.916
1671,0.146
1672,0.892
1673,0.203
1674,0.707
1675,0.333
1676,0.418
1677,0.517
1678,0.999
1679,0.99
1680,0.289
1681,0.512
1682,0.632
1683,0.82
1684,0.284
1685,0.788
1686,0.599
1687,0.696
1688,0.506
1689,0.936
1690,0.856
1691,0.604
1692,0.995
1693,0.891
1694,0.701
1695,0.998
1696,0.884
1697,0.937
1698,0.334
1699,0.809
1700,0.976
1701,0.122
1702,0.982
1703,0.827
1704,0.815
1705,0.855
1706,0.779
1707,0.995
1708,0.443
1709,1
1710,0.901
1711,0.448
1712,0.426
1713,0.1
1714,0.921
1715,0.444
1716,1
1717,0.335
1718,0.163
1719,0.597
1720,0.451
1721,0.994
1722,0.181
1723,0.635
1724,0.999
1725,0.905
1726,0.747
1727,0.945
1728,0.995
1729,0.788
1730,0.944
1731,0.203
1732,0.588
1733,0.693
1734,0.292
1735,0.914
1736,0.268
1737,0.492
1738,0.929
1739,0.58
1740,0.873
1741,0.775
1742,0.994
1743,0.664
1744,0.377
1745,0.724
1746,0.888
1747,0.238
1748,0.452
